match_id,event_id,time,current_scorekeeper,auto_proposed,keeper_email
D-Q1,badminton_doubles,2025-08-22T12:00:00.000Z,,scorekeeper01@example.com,
D-Q2,badminton_doubles,2025-08-22T12:00:00.000Z,,scorekeeper02@example.com,
D-Q3,badminton_doubles,2025-08-22T12:00:00.000Z,,scorekeeper03@example.com,
D-Q4,badminton_doubles,2025-08-22T12:00:00.000Z,,scorekeeper04@example.com,
D-Q5,badminton_doubles,2025-08-22T12:10:00.000Z,,scorekeeper05@example.com,
D-Q6,badminton_doubles,2025-08-22T12:10:00.000Z,,scorekeeper06@example.com,
D-Q10,badminton_doubles,2025-08-22T12:20:00.000Z,,scorekeeper07@example.com,
D-Q7,badminton_doubles,2025-08-22T12:20:00.000Z,,scorekeeper08@example.com,
D-Q8,badminton_doubles,2025-08-22T12:20:00.000Z,,scorekeeper09@example.com,
D-Q9,badminton_doubles,2025-08-22T12:20:00.000Z,,scorekeeper10@example.com,
D-Q11,badminton_doubles,2025-08-22T12:30:00.000Z,,scorekeeper11@example.com,
D-Q12,badminton_doubles,2025-08-22T12:30:00.000Z,,scorekeeper12@example.com,
D-Q13,badminton_doubles,2025-08-22T12:40:00.000Z,,scorekeeper01@example.com,
D-Q14,badminton_doubles,2025-08-22T12:40:00.000Z,,scorekeeper02@example.com,
D-Q15,badminton_doubles,2025-08-22T12:40:00.000Z,,scorekeeper03@example.com,
D-Q16,badminton_doubles,2025-08-22T12:40:00.000Z,,scorekeeper04@example.com,
D-Q17,badminton_doubles,2025-08-22T12:50:00.000Z,,scorekeeper05@example.com,
D-Q18,badminton_doubles,2025-08-22T12:50:00.000Z,,scorekeeper06@example.com,
D-Q19,badminton_doubles,2025-08-22T13:00:00.000Z,,scorekeeper07@example.com,
D-Q20,badminton_doubles,2025-08-22T13:00:00.000Z,,scorekeeper08@example.com,
D-Q21,badminton_doubles,2025-08-22T13:00:00.000Z,,scorekeeper09@example.com,
D-Q22,badminton_doubles,2025-08-22T13:00:00.000Z,,scorekeeper10@example.com,
D-Q23,badminton_doubles,2025-08-22T13:10:00.000Z,,scorekeeper11@example.com,
D-Q24,badminton_doubles,2025-08-22T13:10:00.000Z,,scorekeeper12@example.com,
D-Q25,badminton_doubles,2025-08-22T13:20:00.000Z,,scorekeeper01@example.com,
D-Q26,badminton_doubles,2025-08-22T13:20:00.000Z,,scorekeeper02@example.com,
D-Q27,badminton_doubles,2025-08-22T13:20:00.000Z,,scorekeeper03@example.com,
D-Q28,badminton_doubles,2025-08-22T13:20:00.000Z,,scorekeeper04@example.com,
D-Q29,badminton_doubles,2025-08-22T13:30:00.000Z,,scorekeeper05@example.com,
D-Q30,badminton_doubles,2025-08-22T13:30:00.000Z,,scorekeeper06@example.com,
