full_name,email
Josiah,scorekeeper01@example.com
Louisse,scorekeeper02@example.com
Victor,scorekeeper03@example.com
Austyn,scorekeeper04@example.com
Timothy,scorekeeper05@example.com
Chit,scorekeeper06@example.com
Keiko,scorekeeper07@example.com
Zi Qi,scorekeeper08@example.com
Jeanice,scorekeeper09@example.com
Madeleine,scorekeeper10@example.com
Duc,scorekeeper11@example.com
Phat,scorekeeper12@example.com
Yenyi,scorekeeper13@example.com
Yu Xuan,scorekeeper14@example.com
Emma,scorekeeper15@example.com
Yi Xuan,scorekeeper16@example.com
