email,full_name,default_password,uid
scorekeeper01@example.com,Scorekeeper 01,s1ofHGbGYn,zF5hASHph2f7MN0w5DLobUIqvFB2
scorekeeper02@example.com,Scorekeeper 02,OQ8AX0DiAG,wTzLiIBbQqQrUQ8hjwesXFDkqJq2
scorekeeper03@example.com,Scorekeeper 03,DxWXvJu0zw,5LlVpI45JDO27eMtxNx4E2QFoxF2
scorekeeper04@example.com,Scorekeeper 04,jpHO83jQir,L1dO8aG4izZzjMRHO0Ye03g8nNB2
scorekeeper05@example.com,Scorekeeper 05,XBR7ANk8wF,mmITxBjfjwbExo59d1DPi90GQqs1
scorekeeper06@example.com,Scorekeeper 06,ohOjGCeUTv,MwM7TUGPp5XcT5W688LMIoyXg8S2
scorekeeper07@example.com,Scorekeeper 07,CoJt4iws8o,Z1T18AOMyCSsvypzJcGMgbjHS073
scorekeeper08@example.com,Scorekeeper 08,44BffajDhZ,vX0Mfzpt8dhfxmAHIWEI3QQFBip1
scorekeeper09@example.com,Scorekeeper 09,5K8GJgKJXE,x5bt3BEaFkVQuppSiPUOkAtgRB83
scorekeeper10@example.com,Scorekeeper 10,z6aXYygpYR,PP3H0QcdRmRlPTwuQ4pF4v0BuM52
scorekeeper11@example.com,Scorekeeper 11,erzj5EeCK3,a873z9FyyYdwGDS1gXUQfNQuA4I3
scorekeeper12@example.com,Scorekeeper 12,0lvJrFjCF4,VTDIRRdJf2Z8P5oEP9f7EvonsC23
