email,full_name,default_password,uid
user001@example.com,BS Player 01-1,fWqXlv45OC,5VBdzN9t3kQDJ4lmOnOl9oo6LHu1
user002@example.com,BS Player 02-1,9zU6ZOgu3h,BKXtpuDKuLckCi77SukOmmcUikr1
user003@example.com,BS Player 03-1,ro83XK5Apz,EoBbhUsP4JNYxOPJPKFMLH5XuL33
user004@example.com,BS Player 04-1,2mD7NYK6hM,76fvAbSpTVYJAs76gveD88tnGn23
user005@example.com,BS Player 05-1,FCSNCfX9PY,794hx49dQRNgPNrOiTiY1x2Q2m72
user006@example.com,BS Player 06-1,8dgjrHyQ2J,mg5yx9Y3UhcRw7Tpx2AcLNDGZgt2
user007@example.com,BS Player 07-1,5cEApQSLL9,daQXXFdiA9RkOL16dnT72h8djbz2
user008@example.com,BS Player 08-1,NWFIaJpAaM,EFRhirCB6QQNDalw2EwItTQqYvh1
user009@example.com,BS Player 09-1,INyeDm3Kxc,ObJHHcJVjBOCu0GQe6ki0Nkxg352
user010@example.com,BS Player 10-1,ODyxDpExbX,6YDPG6crAxgszojQG9FUe44NXaY2
user011@example.com,BD Player 01-1,y9CBJW1AjY,9KQlRSJ8YmTZUMHzLpzSPHUFL9M2
user012@example.com,BD Player 01-2,9FFhKdgdNL,Xc1vWLuI5ZXhqdFJvgLuRMbQJY13
user013@example.com,BD Player 02-1,NeXgTQt8IV,ltKTdKUs9aY6kSLzHzTi6P7MtO92
user014@example.com,BD Player 02-2,Goa2HI91tS,0lrBGCL4LtehzXKX5mrEPj143ZT2
user015@example.com,BD Player 03-1,lhqOuBBqHb,ijJIiBvgqIfO1z115XDuH1vMWC02
user016@example.com,BD Player 03-2,6lSJ59kG0c,G6WCW3sW0UUysbpbrZi7OUVlNNC2
user017@example.com,BD Player 04-1,4CIXwoOh6e,CSmB0x6JhBb3hWqBMGWXq8Kd0Jk2
user018@example.com,BD Player 04-2,mRGSUWQesF,0Pvd7kYIhrcho6RjZQ3Zna9TKoX2
user019@example.com,BD Player 05-1,5VUHXUEbFJ,RYN0LYN7iugFNE5XQWypA7Q7jwa2
user020@example.com,BD Player 05-2,kfRKKIX8qO,lqC3kzCMRmYshFvipWWh48KJGRv1
user021@example.com,BD Player 06-1,IyGEhh3pZF,3Uv1dQbkeqZnNxfXgFjiNcIHeFs2
user022@example.com,BD Player 06-2,YeyYDlwGGO,iEQnanPNqnU2O4Jiyrl56Nwmo5I2
user023@example.com,BD Player 07-1,HrM0ltoZ5p,NJ2pA6DVI0grkH1f15BpiqM0W2F3
